DT_FIM_EXERC,PIB_AGRO,PIB_IND,PIB_SERV,PIB,IPCA,USD_EOP,USD_AVG
2006-06-30,13549.85,49362.79,138452.46,233297.65,0.4846686058004575,2.2475,2.1844333333333332
2006-09-30,14137.71,50217.34,140187.52,236484.95,0.48685248463283537,2.1679,2.1705
2006-12-31,14215.71,51652.74,141130.85,239291.2,0.4923234776387752,2.1491,2.1512333333333333
2007-03-31,13988.42,52023.6,145038.58,244239.32,0.4985042312652378,2.0879,2.1070333333333333
2007-06-30,13691.14,53654.31,146685.12,248550.95,0.5025519377218003,1.9311,1.9810333333333334
2007-09-30,14727.42,53866.07,147776.37,250472.29,0.5070383025990041,1.8988,1.9153333333333336
2007-12-31,14737.6,54312.99,150106.07,255148.4,0.5142695772500071,1.7852,1.7848333333333333
2008-03-31,14716.3,55515.86,152597.11,259213.3,0.5220750614215922,1.7068,1.7357333333333334
2008-06-30,15188.69,56384.54,155145.08,264257.11,0.5330095168168083,1.6181,1.6552999999999998
2008-09-30,15481.39,57648.11,156950.18,268182.41,0.5387309028268052,1.7988,1.6669666666666665
2008-12-31,14870.86,53103.42,153330.32,257629.1,0.5446254930200597,2.3936,2.277066666666667
2009-03-31,14466.52,49846.85,154175.71,253381.13,0.5513484510462852,2.313,2.3104999999999998
2009-06-30,14305.82,51906.56,156235.29,258445.45,0.5586023175472782,1.9568,2.0740000000000003
2009-09-30,14444.56,54107.22,159096.68,264820.4,0.5621285287999022,1.819,1.8651333333333333
2009-12-31,15057.16,56328.12,161246.77,271385.16,0.5681078384306195,1.7495,1.7375
2010-03-31,15346.23,56969.05,163706.28,276274.26,0.5798311259213239,1.785,1.8015999999999999
2010-06-30,15718.81,58559.09,165605.91,280416.77,0.5856447619854471,1.8057,1.7913
2010-09-30,15369.59,58719.68,168193.12,283410.55,0.588572289213333,1.7179,1.7485
2010-12-31,15615.28,59622.65,169902.91,287008.35,0.6016755622076003,1.6926,1.6959333333333333
2011-03-31,15988.45,59951.84,171327.25,290106.71,0.6163546167386783,1.6583,1.6665333333333334
2011-06-30,15846.67,61572.13,172809.34,293701.1,0.624956463622415,1.5862,1.594833333333333
2011-09-30,16665.47,61061.88,172914.79,293642.54,0.6316022328278407,1.749,1.6361
2011-12-31,17441.76,60902.67,173463.53,294590.1,0.6408046463904814,1.8362,1.7993
2012-03-31,14039.34,61183.47,175000.9,294533.59,0.648651548953715,1.7947,1.7671666666666666
2012-06-30,15803.79,59655.47,176981.41,296717.64,0.6556757316464752,2.0486,1.9627333333333332
2012-09-30,17587.44,60718.14,178646.21,301290.46,0.6649647473007446,2.0275,2.0282
2012-12-31,16630.93,60203.35,179969.58,302093.07,0.6782186326282794,2.0772,2.0579
2013-03-31,16796.04,60136.22,179738.01,301794.19,0.6913896811725171,1.9823,1.9951666666666668
2013-06-30,17386.5,62416.62,182484.17,308840.42,0.6995792267939341,2.1724,2.069433333333333
2013-09-30,17330.01,62468.87,183590.86,309965.12,0.7039225099545339,2.2699,2.2876999999999996
2013-12-31,17501.51,61956.8,184362.64,309972.55,0.7183059877815745,2.3449,2.2759
2014-03-31,17671.58,62175.02,184647.53,311449.65,0.7339301347039057,2.3255,2.3634
2014-06-30,17389.14,60314.63,183726.44,307617.71,0.7452147637739687,2.2349,2.2291333333333334
2014-09-30,17764.5,60145.47,184281.47,308207.66,0.7514124612879237,2.3323,2.274566666666667
2014-12-31,18153.74,60597.37,184737.18,309513.6,0.7643312341739384,2.6387,2.5446666666666666
2015-03-31,18660.77,59549.34,182436.06,305915.14,0.7935876799111388,3.1389,2.862766666666667
2015-06-30,18115.18,57557.61,179746.38,299360.03,0.8114973689908034,3.1111,3.0716
2015-09-30,17983.13,56542.34,177880.97,295029.21,0.8227424623233835,3.9058,3.547333333333333
2015-12-31,18257.57,55514.46,177164.55,292550.42,0.8459085218340817,3.8705,3.8419333333333334
2016-03-31,17082.21,55248.16,176631.33,289979.74,0.8680767746368832,3.7033,3.909366666666667
2016-06-30,17079.35,55360.24,175897.96,289756.19,0.8832641457927387,3.4239,3.5092666666666665
2016-09-30,17349.19,54510.61,174857.13,287740.28,0.8924778552803743,3.2558,3.246633333333333
2016-12-31,18058.72,53547.0,173892.11,286140.8,0.8990991499816442,3.3517,3.2927666666666666
2017-03-31,20445.81,54275.27,174776.93,290991.62,0.9077574764903561,3.1273,3.1423
2017-06-30,19761.46,54179.64,176650.89,292384.52,0.9097493245978181,3.2948,3.2130333333333336
2017-09-30,19226.78,54258.63,177351.12,292384.81,0.9151261848954657,3.1342,3.1633333333333336
2017-12-31,19189.59,54816.71,177832.94,292968.66,0.9255993900200503,3.2913,3.246866666666667
2018-03-31,19856.77,54900.07,178472.74,295296.47,0.9320926642380428,3.2786,3.2431666666666668
2018-06-30,19912.99,54632.45,178924.28,295510.66,0.9496973633428408,3.7726,3.605
2018-09-30,20120.1,54693.28,179760.04,296769.29,0.9565445765440118,4.1159,3.9577333333333335
2018-12-31,20247.88,54470.56,179880.66,296476.69,0.9602684664840492,3.8844,3.8094
2019-03-31,20052.18,54463.8,180576.87,297203.07,0.9747385464027186,3.8459,3.77
2019-06-30,20210.41,54800.83,181017.23,298809.82,0.981666713733021,3.8582,3.9182333333333332
2019-09-30,20447.05,55212.47,181592.82,300189.7,0.9842214754360699,4.1209,3.9730000000000003
2019-12-31,20363.59,55223.24,182820.53,301286.77,1.001619082582625,4.1089,4.116666666666666
2020-03-31,20478.67,54461.53,179829.15,296648.72,1.0069356979469657,4.8832,4.4575000000000005
